case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,existing_credits,job,num_dependents,class
1,'<0','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','>=7','male single','66<=X<76',2,skilled,1,good
2,'0<=X<200','existing paid',radio/tv,'4000<=X<6000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
3,'no checking','critical/other existing credit',education,'2000<=X<4000','<100','4<=X<7','male single','46<=X<56',1,'unskilled resident',2,good
4,'<0','existing paid',furniture/equipment,'6000<=X<8000','<100','4<=X<7','male single','36<=X<46',1,skilled,2,good
5,'<0','delayed previously','new car','4000<=X<6000','<100','1<=X<4','male single','46<=X<56',2,skilled,2,bad
6,'no checking','existing paid',education,'8000<=X<10000','no known savings','1<=X<4','male single','26<=X<36',1,'unskilled resident',2,good
7,'no checking','existing paid',furniture/equipment,'2000<=X<4000','500<=X<1000','>=7','male single','46<=X<56',1,skilled,1,good
8,'0<=X<200','existing paid','used car','6000<=X<8000','<100','1<=X<4','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
9,'no checking','existing paid',radio/tv,'2000<=X<4000','>=1000','4<=X<7','male div/sep','56<=X<66',1,'unskilled resident',1,good
10,'0<=X<200','critical/other existing credit','new car','4000<=X<6000','<100',unemployed,'male mar/wid','26<=X<36',2,'high qualif/self emp/mgmt',1,bad
11,'0<=X<200','existing paid','new car','0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,bad
12,'<0','existing paid',business,'4000<=X<6000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,bad
13,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,good
14,'<0','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','56<=X<66',2,'unskilled resident',1,bad
15,'<0','existing paid','new car','0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
16,'<0','existing paid',radio/tv,'0<=X<2000','100<=X<500','1<=X<4','female div/dep/mar','26<=X<36',1,'unskilled resident',1,bad
17,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','no known savings','>=7','male single','46<=X<56',2,skilled,1,good
18,'<0','no credits/all paid',business,'8000<=X<10000','no known savings','<1','male single','18<=X<26',3,skilled,1,good
19,'0<=X<200','existing paid','used car','12000<=X<14000','<100','>=7','female div/dep/mar','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
20,'no checking','existing paid',radio/tv,'2000<=X<4000','500<=X<1000','>=7','male single','26<=X<36',1,skilled,2,good
21,'no checking','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','46<=X<56',3,skilled,1,good
22,'<0','existing paid',radio/tv,'2000<=X<4000','500<=X<1000','1<=X<4','male single','36<=X<46',1,skilled,2,good
23,'<0','critical/other existing credit','new car','2000<=X<4000','<100','<1','male single','46<=X<56',2,'unskilled resident',2,good
24,'0<=X<200','critical/other existing credit','used car','0<=X<2000','100<=X<500','<1','male single','36<=X<46',1,skilled,1,good
25,'no checking','critical/other existing credit',furniture/equipment,'2000<=X<4000','no known savings','1<=X<4','male mar/wid','26<=X<36',2,skilled,1,good
26,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',1,'unskilled resident',1,good
27,'no checking','no credits/all paid',radio/tv,'0<=X<2000','<100','>=7','male mar/wid','36<=X<46',1,'unskilled resident',1,good
